,Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Price_in_taka,Location
1906,This 1080 Sq Ft Well Defined Flat Is Now Vacant To Sale In Chandgaon Residential Area,3.0,3.0,1,vacant,1080.0,chattogram,"৳5,700,000","Chandgaon Residential Area, 4 No Chandgaon Ward"
1910,We Are Pleased To Offer This Moderate 1555 Sq Ft Apartment In Muzaffarnagar Residential Area.,3.0,3.0,6,vacant,1555.0,chattogram,"৳6,000,000","Polytechnic, Bayazid"
1911,1644 Sq Ft Flat With Great Facilities Is For Sale In 7 No. West Sholoshohor Ward,3.0,3.0,7,vacant,1644.0,chattogram,"৳9,000,000","Bibirhat, 7 No. West Sholoshohor Ward"
1912,Tastefully Designed This 1500 Sq Ft Home Is Now Vacant For Sale In Khulshi,3.0,3.0,4,vacant,1500.0,chattogram,"৳9,000,000","South Khulshi, Khulshi"
1913,Buy This 1200 Sq Ft Ready Flat For Sale At Bayazid,3.0,3.0,6,vacant,1200.0,chattogram,"৳4,500,000","Sangbadik Co-operative Housing Society, Bayazid"
1914,"Buy This 1650 Sq Ft Fat In 15 No. Bagmoniram Ward, Nasirabad",3.0,4.0,3,vacant,1650.0,chattogram,"৳12,000,000","Nasirabad, 15 No. Bagmoniram Ward"
1915,Close To Railway Workshop Gate Jame Mosque This 900 Sq.Ft Residential Apartment For Sale,2.0,2.0,1,vacant,900.0,chattogram,"৳4,500,000","Ambagan Road, Railway Colony"
1916,A well-constructed 1325 SQ FT flat is for sale in Bakalia,3.0,3.0,4,vacant,1325.0,chattogram,"৳5,300,000","18 No. East Bakalia Ward, Bakalia"
1920,"1775 Sq Ft Apartment With 3 Bedrooms Is Available To Sale In Kotwali, Patharghata",3.0,3.0,8,vacant,1775.0,chattogram,"৳12,137,500","Patharghata, Kotwali"
1921,Acquire This Flat For Your Next Residence In A Nice Location Of Bagmoniram Is Up For Sale.,3.0,3.0,5,vacant,1700.0,chattogram,"৳10,500,000","Chatteshwari Road, 15 No. Bagmoniram Ward"
1922,Offering You A Nice Flat For Sale In Chatteshwari Road Near Chatteshwari Road,3.0,3.0,3,vacant,1430.0,chattogram,"৳8,500,000","Chatteshwari Road, 15 No. Bagmoniram Ward"
1923,"Buy This 2200 Sq Ft Apartment In Khulshi, Zakir Hossain Road",3.0,4.0,1,vacant,2200.0,chattogram,"৳13,000,000","Zakir Hossain Road, Khulshi"
1924,"Buy This 2000 Sq Ft Apartment In Khulshi, Zakir Hossain Road",3.0,4.0,6,vacant,2000.0,chattogram,"৳13,000,000","Zakir Hossain Road, Khulshi"
1925,"An apartment is ready for sale at Enayet Bazaar Ward, near United Commercial Bank Limited",3.0,2.0,3,vacant,1290.0,chattogram,"৳8,000,000","Goaltuli Lane, 22 No. Enayet Bazaar Ward"
1926,If You Are Looking For A Modern Well-planned Flat For Sale Then You Can Choose This 1337 Sq Ft Flat In 24 No. North Agrabad Ward,3.0,3.0,2,vacant,1337.0,chattogram,"৳7,754,600","24 No. North Agrabad Ward, Double Mooring"
1927,"This Vacant Apartment Of 1459 Sq Ft Situated In Double Mooring, Is Up For Sale",3.0,3.0,1,vacant,1459.0,chattogram,"৳8,462,200","24 No. North Agrabad Ward, Double Mooring"
1928,Visit This 1360 Sq Ft Flat For Sale At 24 No North Agrabad Ward,3.0,3.0,8,vacant,1360.0,chattogram,"৳7,888,000","24 No. North Agrabad Ward, Double Mooring"
1929,1337 Sq Ft Convenient Apartment For Is Here Ready For Sale In 24 No. North Agrabad Ward,3.0,3.0,4,vacant,1337.0,chattogram,"৳7,754,600","24 No. North Agrabad Ward, Double Mooring"
1930,"Buy This 1150 Sq Ft Ready Apartment In Jamal Khan, Ashkar Dighir Par",2.0,3.0,7,vacant,1150.0,chattogram,"৳6,000,000","Ashkar Dighir Par, Jamal Khan"
1934,A Unique Apartment In Colonel Hat Near Colonel Hat City Corporation Is Up For Sale,3.0,3.0,2,vacant,1397.0,chattogram,"৳5,838,000","Colonel Hat, 10 No. North Kattali Ward"
1935,"Buy This Decent 1630 Sq Ft Ready Flat In Bayazid, Polytechnic",3.0,4.0,6,vacant,1630.0,chattogram,"৳8,500,000","Polytechnic, Bayazid"
1936,"At Bayazid, Green Valley 1370 Sq Ft Apartment For Sale",3.0,3.0,1,vacant,1370.0,chattogram,"৳6,500,000","Green Valley, Bayazid"
1937,"A Perfect Flat Of 1278 Sq Ft For Living With Family Is Available For Sale At Banani Housing Society, Bayazid",3.0,2.0,1,vacant,1278.0,chattogram,"৳6,500,000","Shahid Nagar, Bayazid"
1939,Residential Apartment Is On Sale In Zakir Hossain Road Nearby Chattogram Diabetic General Hospital,3.0,3.0,1,vacant,1410.0,chattogram,"৳7,755,000","West Khulshi, 9 No. North Pahartali Ward"
1940,Visit This Apartment For Sale In Patharghata Near St. Scholastica&#039;s Girls&#039; School &amp; College,3.0,3.0,9,vacant,1354.0,chattogram,"৳6,400,000","Patharghata, Kotwali"
1941,Ready Flat Of 1013 Sq Ft Is Now For Sale In South Agrabad,2.0,2.0,1,vacant,1013.0,chattogram,"৳5,000,000","South Agrabad, Double Mooring"
1942,Wonderful Flat Of 1450 Sq Ft Is Available For Sale In Jamal Khan,3.0,3.0,2,vacant,1450.0,chattogram,"৳11,500,000","Darul Uloom Road, Jamal Khan"
1944,We Have A 1320 Sq.Ft Flat For Sale In Bahaddarhat Nearby Bahaddarhat BWDB office.,3.0,3.0,4,vacant,1320.0,chattogram,"৳5,940,000","Bahaddarhat, 4 No Chandgaon Ward"
1947,At Chandgaon R/A Nice Flat Up For Sale Near Chandgaon Post Office,3.0,3.0,4,vacant,1200.0,chattogram,"৳6,500,000","Bahaddarhat, 4 No Chandgaon Ward"
1950,Be The Owner Of This 1365 Sq Ft Beautiful Flat Which Is Vacant Now For Sale At Shahid Nagar,3.0,3.0,1,vacant,1365.0,chattogram,"৳6,000,000","Shahid Nagar, Bayazid"
1951,1150 Square Feet And 2 Bedroom Flat Is For Sale At Pahartali,2.0,2.0,4,vacant,1150.0,chattogram,"৳4,600,000","12 No. Sarai Para Ward, Double Mooring"
1952,Check This Fine Looking Flat Of 1150 Sq Ft Offered For Sale At Sarai Para,2.0,2.0,4,vacant,1150.0,chattogram,"৳4,600,000","12 No. Sarai Para Ward, Double Mooring"
1953,Visit This 1050 Sq.ft Flat is For Sale At Pahartali Very Near To Janata Bank Limited,2.0,2.0,5,vacant,1050.0,chattogram,"৳4,200,000","12 No. Sarai Para Ward, Double Mooring"
1954,Your Desired Large 2 Bedroom Home In Pahartali Is Now Vacant For Sale,2.0,2.0,1,vacant,1150.0,chattogram,"৳4,600,000","12 No. Sarai Para Ward, Double Mooring"
1955,A 1750 Sq Ft Wonderful Flat Is For Sale At Hill View R/A,3.0,3.0,1,vacant,1750.0,chattogram,"৳10,000,000","Hill View R/A, Bayazid"
1956,An Apartment Of 1352 Sq.Ft Is Up For Sale In Patharghata Near Patharghata Girls&#039; High School.,3.0,3.0,8,vacant,1352.0,chattogram,"৳6,760,000","Patharghata, Kotwali"
1957,In The Location Of Patharghata An Apartment Is For Sale Near Patharghata Girls&#039; High School.,3.0,3.0,8,vacant,1370.0,chattogram,"৳6,850,000","Patharghata, Kotwali"
1961,Wonderful 1545 Sq Ft Flat Is Available For Sale In 9 No. North Pahartali Ward,3.0,3.0,3,vacant,1545.0,chattogram,"৳7,725,000","West Khulshi R/A, 9 No. North Pahartali Ward"
1962,Adopt Your Destination At 1375 Sq Ft House Which Is Available For Sale In Lal Khan Bazaar,3.0,3.0,5,vacant,1375.0,chattogram,"৳8,562,500","Hill Side Residential Area, Lal Khan Bazaar"
1963,To Settle Comfortably You Can Take This 1375 Sq Ft Flat For Sale In Lal Khan Bazaar,3.0,3.0,1,vacant,1375.0,chattogram,"৳8,562,500","Hill Side Residential Area, Lal Khan Bazaar"
1964,An Apartment Of 1780 Sq.Ft For Sale Is All Set For You To Settle In Kazir Dewri Close To Mount Hospital (Pvt.) Ltd.,3.0,4.0,1,vacant,1780.0,chattogram,"৳13,000,000","Joy Pahar Housing Estate, Kazir Dewri"
1965,"This Slender 3 Bedroom Flat At Lake Valley R/A-North Pahartali , Meeting Your Residential Concerns Is The Perfect Home To You.",3.0,3.0,6,vacant,1400.0,chattogram,"৳7,800,000","Lake Valley R/A, 9 No. North Pahartali Ward"
1966,"Take The Offer Of Buying This 1544 Sq Ft Apartment At Sholokbahar, Al-madani Road",3.0,3.0,5,vacant,1544.0,chattogram,"৳9,264,000","Al-Madani Road, Sholokbahar"
1967,Sholokbahar Is Offereing You A 1644 Sq Ft Apartment To Buy,3.0,3.0,6,vacant,1644.0,chattogram,"৳9,864,000","Al-Madani Road, Sholokbahar"
1968,1646 Sq Ft Apartment Is Ready To Be Sold At Sholokbahar,3.0,3.0,8,vacant,1646.0,chattogram,"৳10,039,120","Al-Madani Road, Sholokbahar"
1969,"1340 Square Feet Decent Flat Is Up For Sale In Bayazid, Raufabad Residential Area",3.0,3.0,4,vacant,1340.0,chattogram,"৳8,000,000","Raufabad Residential Area, Bayazid"
1970,"2250 Sq Ft Apartment For Sale At Khulshi, Zakir Hossain Road",3.0,3.0,1,vacant,2250.0,chattogram,"৳16,000,000","Zakir Hossain Road, Khulshi"
1971,We Have A 1335 Sq.Ft-3 Bedroom Flat For Sale In Bakalia Nearby Moor Ali Baper Jame Masjid,3.0,3.0,7,vacant,1335.0,chattogram,"৳5,340,000","18 No. East Bakalia Ward, Bakalia"
1972,"Start A New Home, In This, 1325 Sq Ft Flat For Sale In Kalamia Bazar",3.0,3.0,6,vacant,1325.0,chattogram,"৳5,300,000","18 No. East Bakalia Ward, Bakalia"
1973,Visit This Apartment For Sale In Halishahar Near Abdul Gofur Mosque,3.0,3.0,7,vacant,1600.0,chattogram,"৳6,500,000","37 No. North-Middle Halishahar Ward, Halishahar"
1974,A 1100 Sq Ft Apartment Is Waiting For Sale At Lal Khan Bazaar Nearby Chittagong Police Institution,3.0,3.0,1,vacant,1100.0,chattogram,"৳5,500,000","14 No. Lalkhan Bazaar Ward, Lal Khan Bazaar"
1975,Ready Flat 2250 Sq Ft Is Now For Sale In Nasirabad Nearby Agrani Bank Limited,3.0,3.0,8,vacant,2250.0,chattogram,"৳12,000,000","Zakir Hossain By Lane, East Nasirabad"
1977,Suitable For Family Living A 1644 Sq Ft Flat Is Available For Sale In Sholokbahar,3.0,3.0,1,vacant,1644.0,chattogram,"৳9,864,000","Al-Madani Road, Sholokbahar"
1978,"In The Location Of Firingee Bazaar, An Apartment Is For Sale Near Firingee Bazaar Temple",3.0,3.0,1,vacant,1608.0,chattogram,"৳8,040,000","Kobi Kazi Nazrul Islam Road, 33 No. Firingee Bazaar Ward"
1979,1740 Sq Ft Luxurious Apartment Is Ready For Sale In South Khulshi Area,3.0,3.0,2,vacant,1740.0,chattogram,"৳11,500,000","South Khulshi, Khulshi"
1981,"1775 Sq Ft Apartment With 3 Bedrooms Is Available To Sale In Kotwali, Patharghata",3.0,3.0,8,vacant,1775.0,chattogram,"৳12,137,500","Patharghata, Kotwali"
